WKT;id;nom;type;uri
"MULTIPOINT ((900332.403696359 6437807.15544308))";"6410901596";Lans en l air (#150);man_made#monitoring_station;http://purl.org/choucas.ign.fr/oor#équipement_scientifique_et_technique
"MULTIPOINT ((902183.160672172 6440271.7617774))";"6410931435";;man_made#monitoring_station;http://purl.org/choucas.ign.fr/oor#équipement_scientifique_et_technique
"MULTIPOINT ((901671.017004801 6433770.52941937))";"6432702261";Chenevarie;place#hamlet;http://purl.org/choucas.ign.fr/oor#place
"MULTIPOINT ((903064.068708268 6441705.0745468))";"6441451921";Bergerie de la Fauge 1343 m;information#board;http://purl.org/choucas.ign.fr/oor#panneau
"MULTIPOINT ((900044.819389509 6435874.36976599))";"6475271247";Tête des Chaudières;natural#peak;http://purl.org/choucas.ign.fr/oor#sommet
"MULTIPOINT ((899932.28679347 6435470.04361716))";"6475271248";Rocher de la Balme;natural#peak;http://purl.org/choucas.ign.fr/oor#sommet
"MULTIPOINT ((904409.762421216 6438436.98551515))";"65231503";Route forestière;highway#track;http
"MULTIPOINT ((902780.464757644 6442969.83253583))";"6566211715";;amenity#bench;http
"MULTIPOINT ((902771.170479138 6442238.56588567))";"6566226214";;natural#spring;http://purl.org/choucas.ign.fr/oor#source
"MULTIPOINT ((902836.051500438 6443645.82606017))";"6587124679";source des plâtres 1276;information#guidepost;http://purl.org/choucas.ign.fr/oor#panneau
"MULTIPOINT ((902211.75916965 6443772.04246345))";"6587333040";;natural#cliff;http://purl.org/choucas.ign.fr/oor#falaise
"MULTIPOINT ((903318.141385477 6442896.28499309))";"6587333078";Les Plâtres;information#guidepost;http://purl.org/choucas.ign.fr/oor#panneau
"MULTIPOINT ((900835.133649581 6444560.45582405))";"6594685386";;amenity#police;http://purl.org/choucas.ign.fr/oor#poste_de_police
"MULTIPOINT ((905095.825577728 6434848.50022625))";"670140844";;man_made#survey_point;http://purl.org/choucas.ign.fr/oor#borne_géodésique
"MULTIPOINT ((903049.406850546 6433961.71194975))";"670140845";;man_made#survey_point;http://purl.org/choucas.ign.fr/oor#borne_géodésique
"MULTIPOINT ((903049.406850546 6433961.71194975))";"670140846";;man_made#survey_point;http://purl.org/choucas.ign.fr/oor#borne_géodésique
"MULTIPOINT ((899932.28679347 6435470.04361716))";"670140968";;man_made#survey_point;http://purl.org/choucas.ign.fr/oor#borne_géodésique
"MULTIPOINT ((899063.266539988 6440124.83013496))";"670140969";;man_made#survey_point;http://purl.org/choucas.ign.fr/oor#borne_géodésique
"MULTIPOINT ((899063.266539988 6440124.83013496))";"670140970";;man_made#survey_point;http://purl.org/choucas.ign.fr/oor#borne_géodésique
"MULTIPOINT ((899083.975069838 6431705.55978336))";"670142006";;man_made#survey_point;http://purl.org/choucas.ign.fr/oor#borne_géodésique
"MULTIPOINT ((901328.881925722 6432399.17989832))";"670142007";;man_made#survey_point;http://purl.org/choucas.ign.fr/oor#borne_géodésique
"MULTIPOINT ((902522.809453782 6442204.57417132))";"670142859";;man_made#survey_point;http://purl.org/choucas.ign.fr/oor#borne_géodésique
"MULTIPOINT ((903881.713147288 6439545.82536456))";"670142860";;man_made#survey_point;http://purl.org/choucas.ign.fr/oor#borne_géodésique
"MULTIPOINT ((903881.713147288 6439545.82536456))";"670142861";Mont Gerbier;man_made#survey_point;http://purl.org/choucas.ign.fr/oor#borne_géodésique
"MULTIPOINT ((904677.111729514 6443743.32951767))";"670142862";;man_made#survey_point;http://purl.org/choucas.ign.fr/oor#borne_géodésique
"MULTIPOINT ((904672.581935161 6443746.95845685))";"670142863";;man_made#survey_point;http://purl.org/choucas.ign.fr/oor#borne_géodésique
"MULTIPOINT ((900674.934150926 6444386.26318225))";"670142864";;man_made#survey_point;http://purl.org/choucas.ign.fr/oor#borne_géodésique
"MULTIPOINT ((903106.187155051 6436208.28089541))";"6710014925";;bench#yes;http
"MULTIPOINT ((902580.64905486 6436465.3944776))";"6742425756";Fontaine des Sarrasins;natural#spring;http://purl.org/choucas.ign.fr/oor#source
"MULTIPOINT ((901375.43473623 6437249.56379632))";"6833074115";;information#guidepost;http://purl.org/choucas.ign.fr/oor#panneau
"MULTIPOINT ((900642.597518062 6444500.00622818))";"683327492";Le Rex;amenity#cinema;http://purl.org/choucas.ign.fr/oor#salle_de_spectacle
"MULTIPOINT ((901136.629708119 6444117.94944209))";"683946468";;barrier#gate;http://purl.org/choucas.ign.fr/oor#barrière
"MULTIPOINT ((900954.509370721 6444825.56211013))";"683946582";;crossing#marked;http
"MULTIPOINT ((900503.505513821 6444157.15214502))";"685165999";;crossing#marked;http
"MULTIPOINT ((900750.676374996 6444491.27524349))";"6862757290";;amenity#fountain;http://purl.org/choucas.ign.fr/oor#fontaine
"MULTIPOINT ((902732.562761026 6441869.33465578))";"687219985";abri de la Fauge;building#yes;HTTP
"MULTIPOINT ((900791.442595709 6444528.48500588))";"6915068610";;amenity#doctors;http
"MULTIPOINT ((901670.254216418 6433453.35656983))";"696600102";;tunnel#culvert;http://purl.org/choucas.ign.fr/oor#tunnel
"MULTIPOINT ((901222.717171007 6433386.36124977))";"696600105";Ruisseau Sec;tunnel#culvert;http://purl.org/choucas.ign.fr/oor#tunnel
"MULTIPOINT ((900760.034360964 6433552.06776877))";"696600106";Ruisseau Raffin;waterway#stream;"http://purl.org/choucas.ign.fr/oor#cours_d&apos;eau"
"MULTIPOINT ((900820.968362979 6431709.35751313))";"696600107";;tunnel#culvert;http://purl.org/choucas.ign.fr/oor#tunnel
"MULTIPOINT ((900598.240784912 6430150.27015954))";"696600109";;tunnel#culvert;http://purl.org/choucas.ign.fr/oor#tunnel
"MULTIPOINT ((900570.802593212 6430180.05642966))";"696600111";;tunnel#culvert;http://purl.org/choucas.ign.fr/oor#tunnel
"MULTIPOINT ((900610.219081126 6430496.14176742))";"696600113";;tunnel#culvert;http://purl.org/choucas.ign.fr/oor#tunnel
"MULTIPOINT ((900533.883819717 6430491.90427196))";"696600115";;tunnel#culvert;http://purl.org/choucas.ign.fr/oor#tunnel
"MULTIPOINT ((900723.435198116 6431200.70767908))";"696600117";;tunnel#culvert;http://purl.org/choucas.ign.fr/oor#tunnel
"MULTIPOINT ((900769.703249273 6431550.90750749))";"696600120";;tunnel#culvert;http://purl.org/choucas.ign.fr/oor#tunnel
"MULTIPOINT ((900802.294682309 6431544.68026547))";"696600121";;tunnel#culvert;http://purl.org/choucas.ign.fr/oor#tunnel
"MULTIPOINT ((902179.117223029 6443426.00224651))";"701405814";;bridge#yes;http://purl.org/choucas.ign.fr/oor#pont
"MULTIPOINT ((900568.168058667 6444005.55974527))";"7044578387";Résidence les tennis;tourism#apartment;http://purl.org/choucas.ign.fr/oor#immeuble_collectif
"MULTIPOINT ((900760.191642968 6444513.58470941))";"7096312511";;amenity#drinking_water;http://purl.org/choucas.ign.fr/oor#fontaine
"MULTIPOINT ((903520.050316638 6436205.59046341))";"713664625";Yourte;building#hut;HTTP
"MULTIPOINT ((902048.846100454 6443576.9108401))";"713740900";Chemin des Traces;highway#track;http
"MULTIPOINT ((901136.968297632 6441892.43878498))";"713768977";Impasse des Granges;highway#service;http
"MULTIPOINT ((901042.903694956 6441842.98066956))";"713768979";Impasse du Laçât et Gêner;highway#service;http
"MULTIPOINT ((901536.375408743 6442473.41394811))";"713768980";Route des Glovettes;highway#tertiary;http
"MULTIPOINT ((901231.767776361 6442232.08734697))";"713768984";;amenity#parking;http://purl.org/choucas.ign.fr/oor#parking
"MULTIPOINT ((901337.531984711 6442184.2840204))";"713768985";;amenity#parking;http://purl.org/choucas.ign.fr/oor#parking
"MULTIPOINT ((901322.31968514 6442014.12205253))";"713768988";;amenity#parking;http://purl.org/choucas.ign.fr/oor#parking
"MULTIPOINT ((898840.98058904 6439705.0123588))";"713786729";Chemin de la Combe du Souillet;highway#unclassified;http
"MULTIPOINT ((899057.521328398 6439836.59940783))";"713786732";Chemin rural du Goutet;highway#unclassified;http
"MULTIPOINT ((903690.450305645 6443977.80293691))";"714067911";Sentier Gobert;highway#path;http
"MULTIPOINT ((902017.227650877 6443615.57170649))";"714069377";Chemin des Traces;highway#track;http
"MULTIPOINT ((902017.027857057 6444233.88505313))";"714069380";;amenity#parking;http://purl.org/choucas.ign.fr/oor#parking
"MULTIPOINT ((901985.443110653 6444287.54421726))";"714069381";Rue Albert Piètri;highway#tertiary;http
"MULTIPOINT ((901741.972959302 6444822.75908328))";"714069382";Route des Vières;highway#track;http
"MULTIPOINT ((901881.786330969 6445198.90039826))";"714069383";Route des Vières;highway#track;http
"MULTIPOINT ((903698.528293419 6437689.28661292))";"714073188";Baraque des Clôs;building#yes;HTTP
"MULTIPOINT ((903344.766688565 6440998.47970639))";"714389352";Combe Charbonière;highway#path;http
"MULTIPOINT ((900643.630271847 6444158.45440048))";"7220882931";;crossing#marked;http
"MULTIPOINT ((900773.966576139 6444145.88666767))";"7220894665";;crossing#marked;http
"MULTIPOINT ((901160.19905157 6436801.77286693))";"7223631613";;information#board;http://purl.org/choucas.ign.fr/oor#panneau
"MULTIPOINT ((901547.3469994 6437629.41348146))";"729366005";Accès Grande Moucherolle par la fenêtre;highway#path;http
"MULTIPOINT ((901479.092635729 6437571.75885453))";"729366006";Vire Sud-Ouest;highway#path;http
"MULTIPOINT ((899220.764359986 6438803.68562786))";"729374592";;amenity#parking;http://purl.org/choucas.ign.fr/oor#parking
"MULTIPOINT ((898934.60384731 6440087.59679425))";"7350121197";Office du tourisme;information#office;"http://purl.org/choucas.ign.fr/oor#bâtiment_d&apos;information"
