WKT;id;nom;type;uri
"MULTIPOINT ((903324.5 6440812.9))";PAIOROGR0000000007455783;Combe Charbonnière;Vallée;http://purl.org/choucas.ign.fr/oor#vallée
"MULTIPOINT ((900860.5 6436590.1))";PAIOROGR0000000007456003;Roche du Coin;Sommet;http://purl.org/choucas.ign.fr/oor#sommet
"MULTIPOINT ((902757.0 6439177.4))";PAIOROGR0000000007455897;Clot d'Aspres;Dépression;http://purl.org/choucas.ign.fr/oor#dépression_fermée
"MULTIPOINT ((898414.9 6434151.4))";PAIOROGR0000000007456235;le Grand Pot;Dépression;http://purl.org/choucas.ign.fr/oor#dépression_fermée
"MULTIPOINT ((897191.6 6435146.0))";PAIOROGR0000000007456128;Porte Barnier;Vallée;http://purl.org/choucas.ign.fr/oor#vallée
"MULTIPOINT ((898267.7 6436211.7))";PAIOROGR0000000007456125;Côte Gy;Versant;http://purl.org/choucas.ign.fr/oor#versant
"MULTIPOINT ((898363.1 6438714.6))";PAIOROGR0000000007455904;Combe du Fourneau;Vallée;http://purl.org/choucas.ign.fr/oor#vallée
"MULTIPOINT ((904301.7 6444080.5))";PAIOROGR0000000007455604;Plateau du Cornafion;Plaine;http://purl.org/choucas.ign.fr/oor#plaine
"MULTIPOINT ((900038.1 6435865.8))";PAIOROGR0000000007456120;Tête des Chaudières;Sommet;http://purl.org/choucas.ign.fr/oor#sommet
"MULTIPOINT ((902792.1 6439655.6))";PAIOROGR0000000007455784;Grotte du Clot d'Aspres;Grotte;http://purl.org/choucas.ign.fr/oor#grotte
"MULTIPOINT ((902489.1 6434626.9))";PAIOROGR0000000007456228;Ravin Côte Valleyre;Vallée;http://purl.org/choucas.ign.fr/oor#vallée
"MULTIPOINT ((898793.3 6430973.2))";PAIOROGR0000000007456418;Pas Étoupe;Col;http://purl.org/choucas.ign.fr/oor#col
"MULTIPOINT ((903407.3 6434517.2))";PAIOROGR0000000007456226;la Terrasse;Plaine;http://purl.org/choucas.ign.fr/oor#plaine
"MULTIPOINT ((897966.3 6439384.3))";PAIOROGR0000000007455905;la Barre aux Chèvres;Rochers;http://purl.org/choucas.ign.fr/oor#rocher
"MULTIPOINT ((901211.8 6434097.4))";PAIOROGR0000000007456231;Truché;Crête;http://purl.org/choucas.ign.fr/oor#crête
"MULTIPOINT ((901675.1 6431152.2))";PAIOROGR0000000007456415;Rochers du Fay;Rochers;http://purl.org/choucas.ign.fr/oor#rocher
"MULTIPOINT ((901227.7 6437694.9))";PAIOROGR0000000007456004;Pas de la Fenêtre;Col;http://purl.org/choucas.ign.fr/oor#col
"MULTIPOINT ((904428.3 6434510.4))";PAIOROGR0000000007456224;les Versanes;Versant;http://purl.org/choucas.ign.fr/oor#versant
"MULTIPOINT ((901036.1 6437951.3))";PAIOROGR0000000007456002;Scialet de la Choa;Gouffre;http://purl.org/choucas.ign.fr/oor#gouffre
"MULTIPOINT ((899067.3 6436484.6))";PAIOROGR0000000007456005;Combe de Fer;Vallée;http://purl.org/choucas.ign.fr/oor#vallée
"MULTIPOINT ((904976.7 6442642.0))";PAIOROGR0000000007455694;l'Enclume;Rochers;http://purl.org/choucas.ign.fr/oor#rocher
"MULTIPOINT ((904111.1 6440390.6))";PAIOROGR0000000007455781;Double Brèche;Col;http://purl.org/choucas.ign.fr/oor#col
"MULTIPOINT ((898913.9 6431871.3))";PAIOROGR0000000007456323;Pas Morta;Col;http://purl.org/choucas.ign.fr/oor#col
"MULTIPOINT ((899302.2 6432302.5))";PAIOROGR0000000007456321;Tune de l'Ours;Grotte;http://purl.org/choucas.ign.fr/oor#grotte
"MULTIPOINT ((899081.4 6433581.2))";PAIOROGR0000000007456234;Pas Ernadant;Col;http://purl.org/choucas.ign.fr/oor#col
"MULTIPOINT ((899548.4 6432940.8))";PAIOROGR0000000007456320;Rocher du Playnet;Escarpement;http://purl.org/choucas.ign.fr/oor#escarpement
"MULTIPOINT ((904100.9 6436522.3))";PAIOROGR0000000007455989;la Sétive;Versant;http://purl.org/choucas.ign.fr/oor#versant
"MULTIPOINT ((901767.6 6434954.8))";PAIOROGR0000000007456118;les Gazeyres;Crête;http://purl.org/choucas.ign.fr/oor#crête
"MULTIPOINT ((900724.5 6436216.6))";PAIOROGR0000000007456119;Pas de la Balme;Col;http://purl.org/choucas.ign.fr/oor#col
"MULTIPOINT ((900552.5 6441901.8))";PAIOROGR0000000007455701;Combe des Pouteils;Vallée;http://purl.org/choucas.ign.fr/oor#vallée
